session_id,user_id,session_date,experiment_week,device_type,event_category,variant,event_view,seat_selected,checkout_started,purchased,order_value,time_to_purchase_sec
1000,1211,2024-03-18 15:35:00,3,mobile,concerts,treatment,1,1,1,0,,
1001,7376,2024-03-13 16:21:00,2,mobile,theatre,control,1,1,1,0,,
1002,5914,2024-03-04 14:56:00,1,mobile,concerts,treatment,1,0,0,0,,
1003,4596,2024-03-09 21:08:00,1,mobile,theatre,treatment,1,1,1,0,,
1004,7401,2024-03-04 16:59:00,1,mobile,concerts,treatment,1,1,0,0,,
1005,1552,2024-03-06 8:16:00,1,mobile,concerts,treatment,1,1,1,1,100.86,203
1006,3881,2024-03-23 17:23:00,3,mobile,concerts,control,1,1,1,1,70.54,361
1007,4186,2024-03-05 10:33:00,1,mobile,theatre,treatment,1,1,0,0,,
1008,4701,2024-03-14 13:18:00,2,mobile,concerts,treatment,1,1,0,0,,
1009,3447,2024-03-18 21:44:00,3,desktop,concerts,treatment,1,0,0,0,,
1010,7993,2024-03-14 13:37:00,2,mobile,concerts,control,1,1,0,0,,
1011,2170,2024-03-21 20:22:00,3,mobile,concerts,treatment,1,1,1,0,,
1012,3582,2024-03-11 21:32:00,2,desktop,sports,control,1,1,1,1,152.42,297
1013,7065,2024-03-22 15:05:00,3,mobile,concerts,treatment,1,0,0,0,,
1014,5808,2024-03-14 15:57:00,2,desktop,concerts,control,1,1,1,1,147.5,307
1015,1246,2024-03-04 16:25:00,1,mobile,sports,treatment,1,0,0,0,,
1016,7985,2024-03-07 19:36:00,1,mobile,concerts,treatment,1,0,0,0,,
1017,3144,2024-03-24 22:14:00,3,mobile,sports,treatment,1,0,0,0,,
1018,5190,2024-03-20 8:20:00,3,mobile,sports,control,1,1,1,0,,
1019,192,2024-03-21 10:08:00,3,desktop,sports,control,1,0,0,0,,
1020,1682,2024-03-06 16:02:00,1,desktop,concerts,control,1,1,1,1,117.03,245
1021,7420,2024-03-12 10:27:00,2,desktop,sports,control,1,1,1,1,163.59,348
